root_label,time,method,model,cluster,marker_count,overlap_count,overlap_ratio,processed_genes
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,kmeans,svm,37,75,6,0.08,"['Xelaev18001106m.g', 'Xetrov90018123m', 'krt16', 'Xetrov90029035m', 'Xelaev18002241m.g', 'apoc1.like', 'timp.1', 'col11a1.like', 'ckm', 'sp8', 'Xelaev18045052m.g', 'Xelaev18045095m.g', 'hbg2', 'msx2', 'Xelaev18047430m.g', 'krt18', 'frem2.1', 'krt', 'nid2', 'postn', 'pltp', 'Xelaev18022166m.g', 'ogn', 'col14a1', 'lpar3', 'Xelaev18045307m.g', 'ets2', 'vit', 'mmp11', 'loc100049121', 'Xelaev18047462m.g', 'col1a2', 'Xelaev18047460m.g', 'myl1', 'cldn6.1', 'dlx5', 'Xelaev18026267m.g', 'mmp8', 'Xelaev18045649m.g', 'fabp3', 'mmp3', 'col1a1', 'loc100494945', 'lrrn4cl', 'c1qtnf3', 'vcan', 'Xelaev18009504m.g', 'Xelaev18021648m.g', 'loc100127750', 'elf3', 'frem2', 'col14a1', 'lama1', 'kpna2', 'Xelaev18022531m.g', 'net1', 'ereg', 'bmp2', 'Xelaev18007618m.g', 'krt19', 'fkbp1b', 'apoe', 'ablim3', 'dlx5', 'fras1', 'Xelaev18038148m.g', 'Xelaev18013503m.g', 'cldn6.1', 'fgf7', 'sdsl', 'c3', 'bcam', 'Xelaev18018009m.g', 'ackr3', 'rnasek']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,kmeans,xgboost,37,75,4,0.05333333333333334,"['Xetrov90029035m', 'apoc1.like', 'Xelaev18026267m.g', 'frem2.1', 'lpar3', 'col11a1.like', 'ogn', 'pltp', 'krt16', 'lama1', 'fras1', 'nid2', 'cldn6.2', 'Xetrov90018123m', 'dlx5', 'Xetrov90028350m', 'prss36', 'msx2', 'fn1', 'elf3', 'nell2', 'myf5', 'crabp1', 'Xelaev18018009m.g', 'sema7a', 'unnamed.L.3', 'rora', 'rbpms2', 'ctsl', 'ctsh', 'duox1', 'Xelaev18018196m.g', 'scg3', 'slc24a5', 'fgf7', 'loc100490291', 'map1a', 'map1a.like', 'ttll13', 'c15orf26', 'lta4h', 'loc100491930', 'loc100488087', 'pah', 'rhcg', 'hapln3', 'pstpip1', 'Xelaev18017960m.g', 'syt1.like', 'nts', 'phlda1', 'pdzrn4', 'cntn1', 'cav1', 'ptprb', 'atp6ap1.1', 'il17rel', 'lamb4', 'lyz', 'Xelaev18017743m.g', 'efcab10.like', 'reln', 'dcn', 'fgl2', 'gata3', 'acan', 'kera', 'net1', 'lep', 'odf3', 'cttn.like.1', 'epyc', 'Xelaev18017456m.g', 'eln2', 'pgam2']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,leiden,logreg,28,75,5,0.06666666666666667,"['apoc1.like', 'cldn6.1', 'bambi', 'krt18', 'cldn6.2', 'Xelaev18026267m.g', 'ly6g6c', 'ereg', 'krt12', 'egfl6', 'nid2', 'frem2.1', 'prss36', 'ets2', 'net1', 'loc101734526', 'mmp8', 'krt8', 'loc100127750', 'Xelaev18017960m.g', 'krt16', 'Xetrov90029035m', 'cpz', 'anxa2', 'Xelaev18045649m.g', 'egfl6', 'Xelaev18047430m.g', 'msx1', 'rdh10', 'timp.1', 'mmp3', 'dlx2', 'loc100049121', 'prdm1', 'bmp4', 'Xelaev18000469m.g', 'dlx5', 'twsg1', 'enc1.2', 'dlx3', 'igfbp2', 'Xetrov90028350m', 'loc100490088', 's100a11', 'apoe', 'lama5', 'cdc42ep3', 'Xelaev18007945m.g', 'lgals4', 'fn1', 'ctgf', 'Xelaev18029747m.g', 'lrrn4cl', 'bmp2', 'Xelaev18022166m.g', 'Xelaev18013503m.g', 'dlx3', 'ctgf', 'dlx5', 'Xelaev18010901m.g', 'frem2', 'hey1', 'c8orf4', 'Xelaev18038148m.g', 'rbp1', 'txn', 'bmp7.1', 'gng3', 'cpamd8', 'col14a1', 'loc100497390', 'slurp1l', 'mmp8', 'c9', 'edn1']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,leiden,svm,15,75,3,0.04,"['loc549413', 'emp1', 'col3a1', 'Xetrov90018123m', 'mmp8', 'krt12', 'krt18', 'fam83a', 'postn', 'Xelaev18022166m.g', 'ckm', 'loc100494786', 'Xelaev18016080m.g', 'tnip2', 'loc101734526', 'Xelaev18002241m.g', 'gamt', 'snai1', 'Xelaev18028574m.g', 'Xetrov90028350m', 'loc100494945', 'timp.1', 'fn1', 'Xelaev18009504m.g', 'clca3p.like', 's100z', 'myl1', 'krt19', 'Xelaev18026267m.g', 'Xelaev18013503m.g', 'ecm2.1', 'loc100491788', 'areg', 'col6a2', 'pltp', 'suclg2', 'htra4', 'bmp2', 'Xelaev18047430m.g', 'gpi', 'kera', 'hey1', 'prdm1', 'loc100489129', 'mmp3', 'Xelaev18007618m.g', 'itgb4', 'ctbs', 'fermt1', 'slurp1l', 'loc100127564', 'fras1', 'bambi', 'loc100488540', 'rdh10', 'cald1', 'loc100170419', 'ptgs2', 'nid2', 'bmp4', 'Xelaev18034626m.g', 'Xetrov90028350m', 'ctgf', 'Xelaev18000469m.g', 'apoc1.like', 'prss36', 'nmral1', 'Xelaev18016074m.g', 'ptgs1', 'klf2', 'timp.1', 'ppp1r3c.2', 'dlx2', 'krt8', 'col4a5']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,leiden,xgboost,16,75,2,0.02666666666666667,"['atp13a.like', 'loc100492852', 'itln1', 'Xetrov90018123m', 'krt16', 'Xelaev18015037m.g', 'Xelaev18022549m.g', 'dlx3', 'bhlha9', 'loc100492852', 'loc100490489', 'loc100494945', 'loc100491791', 'ly6g6c', 'umod.2', 'cyp26a1', 'dlx3', 'loc100485113', 'Xelaev18014807m.g', 's100a11', 'prdm1', 'loc100498371.like', 'spink2', 'loc549858', 'sp8', 'fam83b', 'ppp1r3c.2', 'Xelaev18045052m.g', 'mb21d1', 'aifm3', 'dkk1', 'krt', 'bmp4', 'loc101734375', 'sds', 'aldob', 'msx2', 'txn', 'Xelaev18032448m.g', 'ifnlr1', 'b3gnt7', 'tmem45b', 'loc100494822', 'loc100494945', 'golm1', 'dlx5', 'Xelaev18047460m.g', 'gjb2', 'elf3', 'dlx5', 'hopx', 'loc100494099', 'loc100135371', 'sypl2', 'slc24a5', 'scg3', 'Xelaev18018196m.g', 'duox1', 'fgf7', 'ctsh', 'loc100490291', 'cd53', 'map1a', 'map1a.like', 'ttll13', 'ctsl', 'c15orf26', 'loc100491930', 'loc100488087', 'rhcg', 'hapln3', 'acan', 'gnrhr2.nmi', 'nif', 'loc100492777']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,louvain,logreg,29,75,5,0.06666666666666667,"['cldn6.1', 'apoc1.like', 'bambi', 'krt18', 'Xelaev18026267m.g', 'frem2.1', 'Xelaev18017960m.g', 'cldn6.2', 'loc100049121', 'ereg', 'ly6g6c', 'msx1', 'cldn6.1', 'txn', 'loc100490088', 'Xelaev18022166m.g', 'bhlha9', 'prdm1', 'clca3p.like', 'col14a1', 'krt', 'bmp4', 'krt12', 'Xetrov90029035m', 'krt8', 'dlx5', 'bmp4', 'ets2', 'prdm1', 'twsg1', 'rdh10', 'vcan', 'egfl6', 'lama1', 'Xelaev18047430m.g', 'lama5', 'Xelaev18010901m.g', 'dlx2', 'cpz', 'Xetrov90028350m', 'Xelaev18013182m.g', 'krt16', 'net1', 'dlx3', 'ctsb', 'loc100127750', 'fn1', 'Xelaev18000469m.g', 'bmp2', 'ggt1', 'sdsl', 'fras1', 'mmp3', 'bcl11b', 'c8orf4', 'Xetrov90018123m', 'snai2', 'prss36', 'msx1', 'nid2', 'sdpr', 'col1a1', 'timp.1', 'lrrn4cl', 'frem2', 'apoe', 'loc100490088', 'leng9', 'slurp1l', 'cdc42ep3', 'plk2', 'cpamd8', 'tnip2', 'ppp1r15a', 'egfl6']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,louvain,svm,16,75,2,0.02666666666666667,"['loc549413', 'Xetrov90018123m', 'col3a1', 'ckm', 'Xelaev18016080m.g', 'loc100494945', 'krt12', 'Xetrov90028350m', 'prss36', 'tnip2', 'loc100494786', 'fam83a', 'egfl6', 'Xelaev18002241m.g', 'Xelaev18009504m.g', 'mmp8', 'Xelaev18026267m.g', 'Xelaev18022166m.g', 'apoc1.like', 'Xetrov90028350m', 'krt18', 'bmp4', 'kera', 'fras1', 'frem1', 'krt19', 'loc100488540', 'loc100049121', 'bgn', 'clca3p.like', 'msx2', 'npnt', 'snai1', 'bambi', 'fn1', 'vcan', 'gamt', 'col6a2', 'cald1', 'emp1', 'sdsl', 'lamb4', 'loc100127564', 'gpi', 'lama1', 'Xelaev18045095m.g', 'Xelaev18013503m.g', 'plk2', 'cdc42ep3', 'fermt1', 'ctsb', 'krt16', 'col4a5', 'pltp', 'apoe', 'ecm2.1', 'itgb4', 'slurp1l', 'bmp2', 'enc1.2', 'loc100489129', 'areg', 'ereg', 'loc100494515.like', 'ppp1r3c.2', 'postn', 'loc100170419', 'cdk1', 'fn1', 'epgn', 'anxa2', 'loc101734526', 'cdk1', 'Xetrov90011359m', 'Xelaev18047430m.g']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",1,louvain,xgboost,31,75,3,0.04,"['cfd', 'icam5', 'gngt1', 'cav1', 'gja4', 'cav1', 'krt8', 'pmp2', 'robo4', 'nid2', 'lama5', 'ch25h', 'scg3', 'Xelaev18018196m.g', 'ctsh', 'duox1', 'fgf7', 'ctsl', 'rbpms2', 'rora', 'slc24a5', 'eln2', 'loc100490291', 'map1a', 'sema7a', 'map1a.like', 'ttll13', 'c15orf26', 'loc100491930', 'loc100488087', 'rhcg', 'hapln3', 'acan', 'gnrhr2.nmi', 'unnamed.L.3', 'crabp1', 'Xelaev18018009m.g', 'Xelaev18018612m.g', 'myf5', 'nts', 'Xelaev18017456m.g', 'epyc', 'kera', 'dcn', 'lyz', 'ptprb', 'phlda1', 'syt1.like', 'nell2', 'pdzrn4', 'cntn1', 'atp6ap1.1', 'il17rel', 'lamb4', 'Xelaev18017743m.g', 'efcab10.like', 'reln', 'fgl2', 'gata3', 'net1', 'lep', 'odf3', 'cttn.like.1', 'Xelaev18017960m.g', 'pstpip1', 'nif', 'aebp1', 'il1b', 'gp1ba', 'loc101731311', 'Xelaev18019512m.g', 'Xelaev18019546m.g', 'loc100488434', 'Xelaev18019555m.g', 'loc100496720']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",2,kmeans,logreg,26,75,14,0.18666666666666668,"['apoc1.like', 'frem2.1', 'krt18', 'Xelaev18026267m.g', 'fn1', 'fras1', 'fam83b', 'mxra5', 'Xetrov90029035m', 'vcan', 'hmcn1', 'krt16', 'mmp3', 'pltp', 'nid2', 'loc100127750', 'Xelaev18008610m.g', 'krt', 'sp9', 'jchain', 'msx1', 'loc100490088', 'insig1', 'c3', 'krt16', 'prdm1', 'vwde', 'cpamd8', 'col27a1', 'mmp8', 'bhlha9', 'fgfr4', 'snai2', 'bmp2', 'hey1', 'lama1', 'bmp4', 'sp8', 'lpar3', 'msx2', 'fgf7', 'bmp4', 'twsg1', 'psap', 'twsg1', 'hes3.3', 'ripk4', 'aldob', 'slurp1l', 'bmp2', 'vwa2', 'ism2', 'dlx3', 'dlx3', 'mmp1', 'olfm4', 'rasd1', 'pdgfd', 'dlx5', 'glul.like.1', 'ckm', 'Xelaev18017960m.g', 'fos', 'lamb1', 'rspo2', 'loc100490088', 'sds', 'Xelaev18000469m.g', 'cldn6.2', 'bmp5', 'krt8', 'optc', 'egfl6', 'arg2', 'MGC75752']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",2,kmeans,svm,26,75,8,0.10666666666666667,"['col1a2', 'Xelaev18045052m.g', 'frem2.1', 'krt16', 'Xelaev18045096m.g', 'fam83b', 'krt18', 'krt16', 'fras1', 'Xetrov90029035m', 'mxra5', 'Xelaev18001105m.g', 'timp.1', 'Xelaev18026267m.g', 'fn1', 'Xelaev18001106m.g', 'bhlha9', 'krt', 'loc100490088', 'apoc1.like', 'snai2', 'loc100127750', 'sp9', 'txn', 'jchain', 'ppp1r3c.2', 'vwa2', 'bmp4', 'Xelaev18047460m.g', 'Xetrov90018123m', 'pltp', 'vcan', 'hmcn1', 'msx1', 'hey1', 'msmb.3', 'pdgfd', 'col2a1', 'dlx3', 'sp8', 'Xetrov90011359m', 'fabp3', 'c9', 'krt8', 'loc100049121', 'col1a1', 'foxr1', 'insig1', 'loc100491930', 'col1a2', 'msx2', 'loc100497390', 'lpar3', 'optc', 'loc100494945', 'vwc2l.2', 'slurp1l', 'fgfr4', 'lama1', 'nid2', 'Xelaev18017960m.g', 'robo4', 'bcl11b', 'Xelaev18047462m.g', 'elf3', 'atp6v0b', 'fam212a', 'tmem30b', 'fkbp1b', 'Xelaev18009504m.g', 'tuba4a', 'mmp1', 'col27a1', 'cst3', 'mtus1']"
"overlap filter ratio=0, resolution=2.0, kmeans n=45",2,kmeans,xgboost,26,75,7,0.09333333333333334,"['frem2.1', 'fras1', 'pltp', 'apoc1.like', 'Xelaev18026267m.g', 'fn1', 'krt18', 'krt16', 'krt', 'Xetrov90029035m', 'hmcn1', 'jchain', 'hey1', 'bmp5', 'fam83b', 'Xetrov90018123m', 'bmp4', 'col1a2', 'cldn6.2', 'rbp1', 'vwde', 'lamb1', 'duox1', 'rab27a', 'unnamed.L.3', 'loc101732997', 'ctsh', 'sema3a', 'wdr72', 'gata3', 'adm2', 'loc100127794', 'lep', 'sema7a', 'odf3', 'cttn.like.1', 'ctsl', 'rbpms2', 'Xelaev18017960m.g', 'crabp1', 'loc100496311.like', 'Xelaev18018009m.g', 'rora', 'loc101734287', 'efcab10.like', 'cacna2d1', 'ptprr', 'fgfr4', 'sncb', 'ano4.like.2', 'stab2', 'ascl1', 'pah', 'txnrd1', 'lta4h', 'myf5', 'mgat4c', 'epyc', 'lyz', 'ptprb', 'syt1.like', 'fgl2', 'slc38a4', 'nell2', 'pdzrn4', 'cntn1', 'ccr8', 'cav1', 'wnt2', 'atp6ap1.1', 'il17rel', 'kif21a', 'Xelaev18017743m.g', 'slc24a5', 'reln']"
